title,ingredients,ingredient
Easy Lemon Cake Cookies with Icing,"['1 (18.25 ounce) package lemon cake mix', '2 eggs', '1/3 cup vegetable oil', ""1 cup confectioners' sugar"", '1/4 teaspoon lemon extract', '1 tablespoon milk']","['(18.25 ounce) package lemon cake mix', '', 'vegetable oil', ""confectioners' sugar"", 'lemon extract', 'milk']"
Easy Lemon Cake,"['1 (18.25 ounce) package yellow cake mix', '1 (3 ounce) package lemon flavored Jell-OÂ®', '3/4 cup vegetable oil', '4 eggs', '3/4 cup water', '1/4 teaspoon lemon extract', ""1 cup confectioners' sugar"", '4 tablespoons lemon juice']","['(18.25 ounce) package yellow cake mix', '(3 ounce) package lemon flavored Jell-OÂ®', 'vegetable oil', '', 'water', 'lemon extract', ""confectioners' sugar"", 'lemon juice']"
Easy Lemon Lover's BundtÂ® Cake,"['1 (18.25 ounce) package lemon cake mix', '1 cup sour cream', '1/2 cup vegetable oil', '1/2 cup freshly squeezed lemon juice', '4 large eggs', '1 (3 ounce) package instant lemon pudding mix', 'zest of 1 lemon, or more to taste', '1 tablespoon poppy seeds, or more to taste (optional)', '1/2 teaspoon lemon extract']","['(18.25 ounce) package lemon cake mix', 'sour cream', 'vegetable oil', 'freshly squeezed lemon juice', 'eggs', '(3 ounce) package instant lemon pudding mix', 'zest of 1 lemon, or more to taste', 'poppy seeds, or more to taste (optional)', 'lemon extract']"
Easy Lemon Sheet Cake,"['4 eggs', '1 (18.25 ounce) package lemon cake mix', '1 (22 ounce) can lemon pie filling', 'Frosting:', ""2 1/2 cups confectioners' sugar"", '1 (8 ounce) package cream cheese, softened', '1/2 cup butter, softened', '1 1/2 teaspoons vanilla extract', '1 lemon, zested']","['', '(18.25 ounce) package lemon cake mix', '(22 ounce) can lemon pie filling', 'Frosting:', ""1/2 cups confectioners' sugar"", '(8 ounce) package cream cheese, softened', 'butter, softened', '1/2 teaspoons vanilla extract', ', zested']"
Easy Mango Cake,"['Cake:', '1 ripe mango', '1 (18.25 ounce) box yellow cake mix', '3 eggs', '1/2 cup water', '1/4 cup vegetable oil', '2 tablespoons lime zest', 'Glaze:', '1 tablespoon butter, melted', '1/2 lime, juiced', '1 tablespoon golden rum (optional)', ""2 cups confectioners' sugar""]","['Cake:', 'mango', '(18.25 ounce) box yellow cake mix', '', 'water', 'vegetable oil', 'lime zest', 'Glaze:', 'butter, melted', ', juiced', 'golden rum (optional)', ""confectioners' sugar""]"
Easy Microwave Chocolate Cake,"['3 tablespoons butter, softened', '1/4 cup white sugar', '1 egg', '1 teaspoon vanilla extract', '1/4 cup milk', '1/2 cup all-purpose flour', '2 tablespoons cocoa powder', '1/4 teaspoon baking powder', '1 pinch salt']","['butter, softened', 'white sugar', '', 'vanilla extract', 'milk', 'all-purpose flour', 'cocoa powder', 'baking powder', 'salt']"
Easy Minute Red Gelatin Cake,"['3/4 cup heavy cream', '1/3 cup vegetable oil', '1 (3 ounce) package raspberry flavored Jell-OÂ® mix', '1/3 cup applesauce', '1 (18.25 ounce) package yellow cake mix', '1 (16 ounce) package frozen whipped topping, thawed', '1 (3.5 ounce) package instant vanilla pudding mix', '3 drops red food coloring']","['heavy cream', 'vegetable oil', '(3 ounce) package raspberry flavored Jell-OÂ® mix', 'applesauce', '(18.25 ounce) package yellow cake mix', '(16 ounce) package frozen whipped topping, thawed', '(3.5 ounce) package instant vanilla pudding mix', 'red food coloring']"
Easy Moravian Cake,"['2 cups all-purpose flour', '4 teaspoons baking powder', '1/2 cup shortening', '2 cups white sugar', '2 eggs', '2 cups milk', '1/2 cup butter', '1/2 cup brown sugar', '2 teaspoons ground cinnamon']","['all-purpose flour', 'baking powder', 'shortening', 'white sugar', '', 'milk', 'butter', 'brown sugar', 'ground cinnamon']"
Easy Orange Dream Cake,"['1/4 pound shortening (such as CriscoÂ®)', '1/2 cup white sugar', '2 large eggs', '1 tablespoon vanilla extract, or more to taste', '1 large orange, zested', '1 cup self-rising flour, sifted']","['shortening (such as CriscoÂ®)', 'white sugar', 'eggs', 'vanilla extract, or more to taste', 'orange, zested', 'self-rising flour, sifted']"
Easy Party Cake,"['1 (18.25 ounce) package yellow cake mix', '1 (3 ounce) package orange flavored Jell-OÂ® mix', '4 eggs', '3/4 cup vegetable oil', '2/3 cup water']","['(18.25 ounce) package yellow cake mix', '(3 ounce) package orange flavored Jell-OÂ® mix', '', 'vegetable oil', 'water']"
Easy Peasy Easter Cake (Egg and Milk Free!),"['1 1/2 cups cake flour', '1 cup white sugar', '3 tablespoons unsweetened cocoa powder', '3/4 teaspoon baking powder', '3/4 teaspoon baking soda', '1/2 teaspoon salt', '1 cup water', '5 tablespoons vegetable oil', '1 tablespoon vinegar', '1 teaspoon vanilla extract']","['1/2 cups cake flour', 'white sugar', 'unsweetened cocoa powder', 'baking powder', 'baking soda', 'salt', 'water', 'vegetable oil', 'vinegar', 'vanilla extract']"
Easy Pineapple Cake,"['2 cups all-purpose flour', '2 cups white sugar', '2 eggs', '2 teaspoons baking soda', '1 teaspoon vanilla extract', '1 (20 ounce) can crushed pineapple with juice', '1 (8 ounce) package cream cheese', '1/2 cup butter', ""1 1/2 cups confectioners' sugar"", '1 teaspoon vanilla extract']","['all-purpose flour', 'white sugar', '', 'baking soda', 'vanilla extract', '(20 ounce) can crushed pineapple with juice', '(8 ounce) package cream cheese', 'butter', ""1/2 cups confectioners' sugar"", 'vanilla extract']"
Easy Pineapple Upside Down Cake,"['1/4 cup butter', '1/4 cup packed brown sugar', '1 (15 ounce) can pineapple chunks, drained', '2 tablespoons chopped pecans (optional)', '1 1/2 cups biscuit baking mix (such as BisquickÂ®)', '1/2 cup white sugar', '1/2 cup milk', '2 tablespoons vegetable oil', '1 teaspoon vanilla extract', '1 egg']","['butter', 'packed brown sugar', '(15 ounce) can pineapple chunks, drained', 'chopped pecans (optional)', '1/2 cups biscuit baking mix (such as BisquickÂ®)', 'white sugar', 'milk', 'vegetable oil', 'vanilla extract', '']"
Easy Plain Cake,"['4 eggs', '3/4 cup white sugar', '1 cup butter, melted', '3 cups self-rising flour', '1 cup raisins (optional)', '1 cup semi-sweet chocolate chips (optional)', '3 apples - peeled, cored and diced (optional)']","['', 'white sugar', 'butter, melted', 'self-rising flour', 'raisins (optional)', 'semi-sweet chocolate chips (optional)', '- peeled, cored and diced (optional)']"
Easy Platz (Coffee Cake),"['2 cups all-purpose flour', '1 1/2 cups white sugar', '2 teaspoons baking powder', '1 teaspoon salt', '2/3 cup margarine', '2 eggs, beaten', '2/3 cup milk', '1 cup blackberries']","['all-purpose flour', '1/2 cups white sugar', 'baking powder', 'salt', 'margarine', ', beaten', 'milk', 'blackberries']"
Easy Puffed Wheat Cake,"['8 cups puffed wheat cereal', '1/3 cup butter', '1 cup packed brown sugar', '1/2 cup corn syrup', '2 tablespoons cocoa powder', '1 teaspoon vanilla extract']","['puffed wheat cereal', 'butter', 'packed brown sugar', 'corn syrup', 'cocoa powder', 'vanilla extract']"
Easy Raisin Cake,"['1 cup raisins', '2 cups water', '1/2 cup butter', '1 teaspoon baking soda', '1/2 teaspoon salt', '1 cup white sugar', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground nutmeg', '1 cup chopped walnuts', '1 3/4 cups all-purpose flour']","['raisins', 'water', 'butter', 'baking soda', 'salt', 'white sugar', 'ground cinnamon', 'ground nutmeg', 'chopped walnuts', '3/4 cups all-purpose flour']"
Easy Red Velvet Cake,"['1 (18.25 ounce) package white cake mix', '1 (3.5 ounce) package non-instant chocolate pudding mix', 'red food coloring, as desired', 'Â½ cup buttermilk']","['(18.25 ounce) package white cake mix', '(3.5 ounce) package non-instant chocolate pudding mix', 'red food coloring, as desired', 'Â½ cup buttermilk']"
Easy Rhubarb Pudding Cake,"['1 (18.25 ounce) box yellow cake mix', '1 cup water', '1/3 cup vegetable oil', '3 eggs', '5 cups chopped rhubarb', '1 cup white sugar', '1 teaspoon cinnamon', '1 cup hot water']","['(18.25 ounce) box yellow cake mix', 'water', 'vegetable oil', '', 'chopped rhubarb', 'white sugar', 'cinnamon', 'hot water']"
Easy Rich Chocolate Cake,"[""1 (18.25 ounce) package devil's food cake mix"", '3 eggs', '1/2 cup butter', '1 cup semisweet chocolate chips', '1 cup chopped pecans', ""4 cups confectioners' sugar"", '1 (8 ounce) package cream cheese']","[""(18.25 ounce) package devil's food cake mix"", '', 'butter', 'semisweet chocolate chips', 'chopped pecans', ""confectioners' sugar"", '(8 ounce) package cream cheese']"
Easy Ricotta Cake,"['1 (15.25 ounce) package yellow cake mix (such as Duncan HinesÂ® Butter Golden)', '5 eggs, divided', '3/4 cup milk', '7 tablespoons softened butter', '1 (32 ounce) container ricotta cheese', '2 cups white sugar', '2 tablespoons vanilla extract']","['(15.25 ounce) package yellow cake mix (such as Duncan HinesÂ® Butter Golden)', ', divided', 'milk', 'softened butter', '(32 ounce) container ricotta cheese', 'white sugar', 'vanilla extract']"
Easy Rum Cake,"['1 cup chopped walnuts', '1 (18.25 ounce) package yellow cake mix', '1/2 cup dark rum', '4 eggs', '1/2 cup water', '1/2 cup vegetable oil', '1 (3.5 ounce) package instant vanilla pudding mix', 'Glaze', '1/2 cup butter', '1/8 cup water', '1/2 cup white sugar', '1/4 cup rum']","['chopped walnuts', '(18.25 ounce) package yellow cake mix', 'dark rum', '', 'water', 'vegetable oil', '(3.5 ounce) package instant vanilla pudding mix', 'Glaze', 'butter', 'water', 'white sugar', 'rum']"
Easy Spiced Cake Mix Bars,"['1 (18.25 ounce) package yellow cake mix', '1/2 teaspoon ground cinnamon', '1/4 teaspoon ground cloves', '1 egg', '1/3 cup vegetable oil', '1/3 cup applesauce', '1/2 cup chopped walnuts', '1/2 cup semisweet chocolate chips', '1/4 cup dried currants, (optional)']","['(18.25 ounce) package yellow cake mix', 'ground cinnamon', 'ground cloves', '', 'vegetable oil', 'applesauce', 'chopped walnuts', 'semisweet chocolate chips', 'dried currants, (optional)']"
Easy Streusel Coffee Cake,"['1 (18.25 ounce) package yellow cake mix', '1 (3.5 ounce) package instant vanilla pudding mix', '1/3 cup vegetable oil', '4 eggs', '1 cup plain yogurt', '1 tablespoon unsweetened cocoa powder', '1/2 cup chopped walnuts', '1 teaspoon ground cinnamon']","['(18.25 ounce) package yellow cake mix', '(3.5 ounce) package instant vanilla pudding mix', 'vegetable oil', '', 'plain yogurt', 'unsweetened cocoa powder', 'chopped walnuts', 'ground cinnamon']"
Easy Surprise Cake,"['13 tablespoons butter, softened', '1 cup white sugar', '3 eggs', '1 3/4 cups all-purpose flour', '1 1/2 teaspoons baking powder']","['butter, softened', 'white sugar', '', '3/4 cups all-purpose flour', '1/2 teaspoons baking powder']"
Easy TwinkieÂ® Cake,"['Cake:', '1/2 cup butter, melted and slightly cooled', '4 large eggs, lightly beaten', '1 (18.25 ounce) package yellow cake mix', '1 cup water', '1 (5.1 ounce) package instant vanilla pudding mix', 'Frosting:', '1/2 cup butter, softened', '1 teaspoon vanilla extract', '1 (7 ounce) jar marshmallow creme', ""3 1/2 cups confectioners' sugar"", '1/4 cup heavy whipping cream']","['Cake:', 'butter, melted and slightly cooled', 'eggs, lightly beaten', '(18.25 ounce) package yellow cake mix', 'water', '(5.1 ounce) package instant vanilla pudding mix', 'Frosting:', 'butter, softened', 'vanilla extract', '(7 ounce) jar marshmallow creme', ""1/2 cups confectioners' sugar"", 'heavy whipping cream']"
Easy Valentine's Day Cake,"['Cake:', '2 cups white sugar', '1 cup butter, softened', '4 eggs, beaten', '1 tablespoon vanilla extract', '1 teaspoon almond extract (optional)', '2 teaspoons baking powder', '1 teaspoon baking soda', '3 cups all-purpose flour', '2 cups milk', 'Icing:', ""4 cups confectioners' sugar"", '1 cup butter, softened', '2 teaspoons vanilla extract']","['Cake:', 'white sugar', 'butter, softened', ', beaten', 'vanilla extract', 'almond extract (optional)', 'baking powder', 'baking soda', 'all-purpose flour', 'milk', 'Icing:', ""confectioners' sugar"", 'butter, softened', 'vanilla extract']"
Eclair Cake with Chocolate Ganache,"['Pastry Shell:', '1 cup water', '1/2 cup butter', '1/4 teaspoon salt', '1 cup all-purpose flour', '4 eggs', 'Filling:', '2 cups cold heavy whipping cream', ""2 tablespoons confectioners' sugar"", '1 teaspoon vanilla extract', '2 (3.5 ounce) packages instant vanilla pudding mix', '2 cups cold milk', 'Chocolate Ganache:', '1 cup bittersweet chocolate, chopped', '1 cup heavy cream']","['Pastry Shell:', 'water', 'butter', 'salt', 'all-purpose flour', '', 'Filling:', 'cold heavy whipping cream', ""confectioners' sugar"", 'vanilla extract', '(3.5 ounce) packages instant vanilla pudding mix', 'cold milk', 'Chocolate Ganache:', 'bittersweet chocolate, chopped', 'heavy cream']"
Eclair Cake,"['2 (3.5 ounce) packages instant vanilla pudding mix', '1 (8 ounce) container frozen whipped topping, thawed', '3 cups milk', '1 (16 ounce) package graham cracker squares', '1 (16 ounce) package prepared chocolate frosting']","['(3.5 ounce) packages instant vanilla pudding mix', '(8 ounce) container frozen whipped topping, thawed', 'milk', '(16 ounce) package graham cracker squares', '(16 ounce) package prepared chocolate frosting']"
Egg-Free Dairy-Free Nut-Free Cake,"['1 1/2 cups all-purpose flour', '1/2 teaspoon salt', '1 cup white sugar', '1/4 cup unsweetened cocoa powder', '1 teaspoon baking soda', '5 tablespoons vegetable oil', '1 tablespoon white vinegar', '1 teaspoon vanilla extract', '1 cup cold water', '1/2 cup semi-sweet chocolate chips']","['1/2 cups all-purpose flour', 'salt', 'white sugar', 'unsweetened cocoa powder', 'baking soda', 'vegetable oil', 'white vinegar', 'vanilla extract', 'cold water', 'semi-sweet chocolate chips']"
Egg-Yolk Sponge Cake,"['1 2/3 cups all-purpose flour', '1 1/2 teaspoons baking powder', '1/2 teaspoon salt', '3/4 cup egg yolks', '1 egg', '1 1/2 cups white sugar', '1 tablespoon orange zest', '1 tablespoon orange juice, strained', '1/2 teaspoon lemon extract', '3/4 cup boiling water']","['2/3 cups all-purpose flour', '1/2 teaspoons baking powder', 'salt', 'egg yolks', '', '1/2 cups white sugar', 'orange zest', 'orange juice, strained', 'lemon extract', 'boiling water']"
Eggless Butter Cake,"['1 1/4 cups cake flour', '1 1/2 teaspoons baking powder', '1 1/3 cups butter', '3/4 cup white sugar', '1 1/4 cups evaporated milk', '1 1/2 teaspoons vanilla extract']","['1/4 cups cake flour', '1/2 teaspoons baking powder', '1/3 cups butter', 'white sugar', '1/4 cups evaporated milk', '1/2 teaspoons vanilla extract']"
Eggless Chocolate Cake I,"['1 cup butter', '1 (14 ounce) can sweetened condensed milk', '2 3/8 cups self-rising flour', '1 1/8 cups unsweetened cocoa powder', '2 teaspoons baking powder', '1 teaspoon baking soda', '1 (12 fluid ounce) can or bottle cola-flavored carbonated beverage']","['butter', '(14 ounce) can sweetened condensed milk', '3/8 cups self-rising flour', '1/8 cups unsweetened cocoa powder', 'baking powder', 'baking soda', '(12 fluid ounce) can or bottle cola-flavored carbonated beverage']"
Eggless Chocolate Cake II,"['4 1/2 cups sifted all-purpose flour', '3 cups white sugar', '1 cup unsweetened cocoa powder', '1 cup vegetable oil', '3 cups water', '3 teaspoons baking soda', '1/2 teaspoon salt', '3 tablespoons vanilla extract']","['1/2 cups sifted all-purpose flour', 'white sugar', 'unsweetened cocoa powder', 'vegetable oil', 'water', 'baking soda', 'salt', 'vanilla extract']"
Eggless Coffee Cake,"['1\u2009Â½ cups sifted unbleached all-purpose flour', '2 teaspoons baking powder', 'Â½ teaspoon baking soda', 'Â¼ teaspoon salt', 'Â¾ cup white sugar', '3 teaspoons egg replacer (dry)', '4 tablespoons water', '1 cup sour cream substitute', 'Â½ teaspoon vanilla extract', 'Â¼ cup fresh blueberries', 'Â¼ cup chopped walnuts (optional)', '5 tablespoons white sugar', '2 tablespoons soy margarine', 'Â½ teaspoon ground cinnamon']","['Â½ cups sifted unbleached all-purpose flour', 'baking powder', 'Â½ teaspoon baking soda', 'Â¼ teaspoon salt', 'Â¾ cup white sugar', 'egg replacer (dry)', 'water', 'sour cream substitute', 'Â½ teaspoon vanilla extract', 'Â¼ cup fresh blueberries', 'Â¼ cup chopped walnuts (optional)', 'white sugar', 'soy margarine', 'Â½ teaspoon ground cinnamon']"
Eggless Date Cake,"['3/4 cup milk', '18 dates, pitted and left whole', '1/2 cup brown sugar', '1/2 cup vegetable oil', '1 teaspoon vanilla extract (optional)', '1 cup all-purpose flour', '1 teaspoon baking soda', '1 teaspoon ground cinnamon (optional)', '1/4 cup chopped walnuts (optional)']","['milk', ', pitted and left whole', 'brown sugar', 'vegetable oil', 'vanilla extract (optional)', 'all-purpose flour', 'baking soda', 'ground cinnamon (optional)', 'chopped walnuts (optional)']"
"Eggless, Milkless, Butterless Cake III","['1 cup white sugar', '2 tablespoons shortening', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground nutmeg', '1/2 teaspoon ground allspice', '1/2 teaspoon salt', '1 (10.75 ounce) can  condensed tomato soup', '1 cup raisins', '1 1/2 cups boiling water', '1 teaspoon baking soda', '2 cups all-purpose flour', '1 teaspoon baking powder']","['white sugar', 'shortening', 'ground cinnamon', 'ground nutmeg', 'ground allspice', 'salt', '(10.75 ounce) can  condensed tomato soup', 'raisins', '1/2 cups boiling water', 'baking soda', 'all-purpose flour', 'baking powder']"
"Eggless, Milkless, Butterless Cake IV","['1 cup brown sugar', '1 1/4 cups water', '1 cup raisins', '1/3 cup shortening', '1/2 teaspoon salt', '1 teaspoon ground nutmeg', '1 teaspoon ground cinnamon', '2 cups all-purpose flour', '5 teaspoons baking powder']","['brown sugar', '1/4 cups water', 'raisins', 'shortening', 'salt', 'ground nutmeg', 'ground cinnamon', 'all-purpose flour', 'baking powder']"
Eggless Milkless Butterless Cake,"['1 cup white sugar', '2 tablespoons shortening', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground nutmeg', '1/2 teaspoon ground allspice', '1/2 teaspoon salt', '1 cup raisins', '1 1/2 cups water', '1 teaspoon baking soda', '2 cups all-purpose flour', '1 teaspoon baking powder']","['white sugar', 'shortening', 'ground cinnamon', 'ground nutmeg', 'ground allspice', 'salt', 'raisins', '1/2 cups water', 'baking soda', 'all-purpose flour', 'baking powder']"
Eggnog Cake,"['Cake:', '1 (18.5 ounce) package yellow cake mix', '2 eggs', '2 cups eggnog', '1/4 cup melted butter', '1/2 teaspoon ground nutmeg', '1/2 teaspoon rum flavored extract', 'Filling:', '1 (3.4 ounce) package instant vanilla pudding mix', '2 cups eggnog', '1/2 teaspoon rum flavored extract', 'Topping:', '1 tablespoon unflavored gelatin', '2 tablespoons cold water', '2 cups heavy cream', '1 1/4 cups sugar', '1 pinch salt', '1/2 teaspoon rum flavored extract']","['Cake:', '(18.5 ounce) package yellow cake mix', '', 'eggnog', 'melted butter', 'ground nutmeg', 'rum flavored extract', 'Filling:', '(3.4 ounce) package instant vanilla pudding mix', 'eggnog', 'rum flavored extract', 'Topping:', 'unflavored gelatin', 'cold water', 'heavy cream', '1/4 cups sugar', 'salt', 'rum flavored extract']"
Eggnog Pound Cake,"['1/4 cup dried blueberries', '1/4 cup chopped dried cherries', '1/4 cup dried cranberries', '2 tablespoons brandy', '3 cups all-purpose flour', '2 teaspoons baking powder', '1/4 teaspoon salt', '1/8 teaspoon freshly grated nutmeg', '1 cup unsalted butter, softened', '2 cups white sugar', '3 eggs', '1 teaspoon vanilla extract', '1 cup eggnog', '2 tablespoons brandy', '2 tablespoons water', '3/4 cup white sugar']","['dried blueberries', 'chopped dried cherries', 'dried cranberries', 'brandy', 'all-purpose flour', 'baking powder', 'salt', 'freshly grated nutmeg', 'unsalted butter, softened', 'white sugar', '', 'vanilla extract', 'eggnog', 'brandy', 'water', 'white sugar']"
Elegant Cake Fudge,"['1 cup yellow cake mix', ""1 cup confectioners' sugar"", '1/2 cup butter, diced', '1/4 cup milk', '2 tablespoons sprinkles (optional)', '1/2 cup caramel, or to taste', '1/4 cup chopped cashews (optional)']","['yellow cake mix', ""confectioners' sugar"", 'butter, diced', 'milk', 'sprinkles (optional)', 'caramel, or to taste', 'chopped cashews (optional)']"
Elegant Chocolate Mousse Cake,"['Crust:', '3 cups chocolate wafer crumbs', '10 tablespoons butter, melted', 'Filling:', '1 pound semisweet chocolate, chopped', '2 eggs', '4 eggs, separated', '2 cups heavy whipping cream', ""6 tablespoons confectioners' sugar"", 'Topping:', '2 cups heavy whipping cream', ""1/4 cup confectioners' sugar, or to taste"", '2 tablespoons orange liqueur (such as Grand MarnierÂ®) (optional)']","['Crust:', 'chocolate wafer crumbs', 'butter, melted', 'Filling:', 'semisweet chocolate, chopped', '', ', separated', 'heavy whipping cream', ""confectioners' sugar"", 'Topping:', 'heavy whipping cream', ""confectioners' sugar, or to taste"", 'orange liqueur (such as Grand MarnierÂ®) (optional)']"
Elegant Light Fruit Cake,"['2 cups ground almonds', '3 cups red candied cherries', '1 1/2 cups green candied cherries', '1 (8 ounce) package diced candied citron', '6 cups golden raisins', '8 ounces candied pineapple, diced', '1 cup all-purpose flour', '1 cup shortening', '1 cup all-purpose flour', '2 2/3 cups white sugar', '8 egg yolks', '4 teaspoons almond extract', '2/3 cup brandy', '2/3 cup milk', '4 1/2 cups all-purpose flour', '8 egg whites', '1 1/2 teaspoons cream of tartar']","['ground almonds', 'red candied cherries', '1/2 cups green candied cherries', '(8 ounce) package diced candied citron', 'golden raisins', 'candied pineapple, diced', 'all-purpose flour', 'shortening', 'all-purpose flour', '2/3 cups white sugar', 'yolks', 'almond extract', 'brandy', 'milk', '1/2 cups all-purpose flour', 'whites', '1/2 teaspoons cream of tartar']"
Elegant Southern Jam Cake,"['1 (18.25 ounce) package white cake mix', '1 (3.4 ounce) package instant vanilla pudding mix', '1 cup water', '1/4 cup vegetable oil', '4 eggs', '1/2 cup white sugar', '2 tablespoons water', '2 egg whites', '1 1/2 cups marshmallow creme', '1 cup seedless fruit preserves']","['(18.25 ounce) package white cake mix', '(3.4 ounce) package instant vanilla pudding mix', 'water', 'vegetable oil', '', 'white sugar', 'water', 'whites', '1/2 cups marshmallow creme', 'seedless fruit preserves']"
Elvis Presley Cake,"['1 (18.25 ounce) package white cake mix', '1 (8 ounce) can crushed pineapple with juice', '2 cups white sugar', '1 (8 ounce) package cream cheese', '1/2 cup butter, softened', ""4 cups confectioners' sugar"", '1 teaspoon vanilla extract', '1 cup chopped pecans']","['(18.25 ounce) package white cake mix', '(8 ounce) can crushed pineapple with juice', 'white sugar', '(8 ounce) package cream cheese', 'butter, softened', ""confectioners' sugar"", 'vanilla extract', 'chopped pecans']"
End of the Rainbow Cake,"['3/4 cup butter flavored shortening', '1 1/2 cups white sugar', '2 eggs', '2 teaspoons vanilla extract', '1/4 teaspoon almond extract', '1 cup milk', '2 1/3 cups all-purpose flour', '3 teaspoons baking powder', '1 teaspoon salt']","['butter flavored shortening', '1/2 cups white sugar', '', 'vanilla extract', 'almond extract', 'milk', '1/3 cups all-purpose flour', 'baking powder', 'salt']"
English Caraway Cake,"['1 tablespoon butter, softened', '1/2 cup butter, softened', '2 1/2 cups all-purpose flour', '1 teaspoon baking powder', 'salt to taste', '3/4 cup white sugar', '1 tablespoon caraway seed', '1 egg', '1/2 cup milk']","['butter, softened', 'butter, softened', '1/2 cups all-purpose flour', 'baking powder', 'salt to taste', 'white sugar', 'caraway seed', '', 'milk']"
English Christmas Cake,"['3 1/4 cups all-purpose flour', '1 teaspoon mixed spice', '1 teaspoon ground cinnamon', '1 teaspoon grated lemon zest', '1 1/2 cups butter', '1 3/4 cups superfine sugar', '6 eggs', '2 cups raisins', '2 cups golden raisins', '4 cups dried currants', '1 cup candied cherries', '3/4 cup chopped almonds', '2 tablespoons brandy']","['1/4 cups all-purpose flour', 'mixed spice', 'ground cinnamon', 'grated lemon zest', '1/2 cups butter', '3/4 cups superfine sugar', '', 'raisins', 'golden raisins', 'dried currants', 'candied cherries', 'chopped almonds', 'brandy']"
English Pound Cake,"['3 cups sifted all-purpose flour', '1/4 teaspoon baking soda', '1/4 teaspoon salt', '1 cup butter, room temperature', '3 cups white sugar', '6 eggs, room temperature', '1/2 teaspoon vanilla extract', '1/4 teaspoon orange extract', '1/4 teaspoon almond extract', '1 cup sour cream']","['sifted all-purpose flour', 'baking soda', 'salt', 'butter, room temperature', 'white sugar', ', room temperature', 'vanilla extract', 'orange extract', 'almond extract', 'sour cream']"
English Walnut Date Cake,"['2 pounds dates, pitted and chopped', '2 pounds English walnuts, coarsely chopped', '1 cup white sugar', '1 tablespoon baking powder', '1 1/4 cups all-purpose flour', '4 egg yolks', '4 egg whites']","['dates, pitted and chopped', 'English walnuts, coarsely chopped', 'white sugar', 'baking powder', '1/4 cups all-purpose flour', 'yolks', 'whites']"
Excellent Puffed Wheat Cake,"['8 cups puffed wheat cereal', '1 cup brown sugar, not packed', 'Â½ cup butter', 'Â½ cup corn syrup', ""3 tablespoons Dutch-process cocoa (such as Fry'sÂ®)"", '2 teaspoons vanilla extract']","['puffed wheat cereal', 'brown sugar, not packed', 'Â½ cup butter', 'Â½ cup corn syrup', ""Dutch-process cocoa (such as Fry'sÂ®)"", 'vanilla extract']"
Extreme Chocolate Cake,"['2 cups white sugar', '1 3/4 cups all-purpose flour', '3/4 cup unsweetened cocoa powder', '1 1/2 teaspoons baking soda', '1 1/2 teaspoons baking powder', '1 teaspoon salt', '2 eggs', '1 cup milk', '1/2 cup vegetable oil', '2 teaspoons vanilla extract', '1 cup boiling water', '3/4 cup butter', '1 1/2 cups unsweetened cocoa powder', ""5 1/3 cups confectioners' sugar"", '2/3 cup milk', '1 teaspoon vanilla extract']","['white sugar', '3/4 cups all-purpose flour', 'unsweetened cocoa powder', '1/2 teaspoons baking soda', '1/2 teaspoons baking powder', 'salt', '', 'milk', 'vegetable oil', 'vanilla extract', 'boiling water', 'butter', '1/2 cups unsweetened cocoa powder', ""1/3 cups confectioners' sugar"", 'milk', 'vanilla extract']"
Fabulous Carrot Cake,"['1 1/2 cups butter, divided', '1 cup packed brown sugar', '1 cup granulated sugar', '4 eggs', '1 (20 ounce) can DOLEÂ® Crushed Pineapple, well drained', '4 cups shredded DOLE carrots', '1 cup DOLE Seedless Raisins', '2 teaspoons vanilla extract', '3 cups all-purpose flour', '2 teaspoons baking soda', '1 teaspoon ground cinnamon', '1 teaspoon ground ginger', '1/2 teaspoon salt', '1 (8 ounce) package cream cheese, softened', '1 1/2 cups powdered sugar', '1 teaspoon grated lemon peel', '1 tablespoon lemon juice']","['1/2 cups butter, divided', 'packed brown sugar', 'granulated sugar', '', '(20 ounce) can DOLEÂ® Crushed Pineapple, well drained', 'shredded DOLE carrots', 'DOLE Seedless Raisins', 'vanilla extract', 'all-purpose flour', 'baking soda', 'ground cinnamon', 'ground ginger', 'salt', '(8 ounce) package cream cheese, softened', '1/2 cups powdered sugar', 'grated lemon peel', 'lemon juice']"
Fabulous Fudge Chocolate Cake,"['2 1/4 cups all-purpose flour', '2 teaspoons baking soda', '1/2 teaspoon salt', '1/2 cup butter', '2 1/2 cups packed brown sugar', '3 eggs', '1 1/2 teaspoons vanilla extract', '3 (1 ounce) squares unsweetened chocolate, melted', '1 cup sour cream', '1 cup boiling water', '1/2 cup butter', '1 cup packed brown sugar', '1/4 cup milk', ""1 3/4 cups confectioners' sugar""]","['1/4 cups all-purpose flour', 'baking soda', 'salt', 'butter', '1/2 cups packed brown sugar', '', '1/2 teaspoons vanilla extract', '(1 ounce) squares unsweetened chocolate, melted', 'sour cream', 'boiling water', 'butter', 'packed brown sugar', 'milk', ""3/4 cups confectioners' sugar""]"
